Batter,Pitcher,PA,AB,H,2B,3B,HR,SO,K%,Whiff%,BB,BB%,BA,SLG,wOBA,xBA,xSLG,xwOBA,EV,LA
Yoan Moncada,Aaron Civale,17,14,6,1,0,0,3,17.6,27.3,2,11.8,0.429,0.500,0.412,0.304,0.356,0.320,83.0,12.7
Jose Abreu,Aaron Civale,17,14,2,1,0,0,3,17.6,19.2,3,17.6,0.143,0.214,0.247,0.156,0.254,0.270,89.0,-1.9
Luis Robert,Aaron Civale,12,9,3,0,0,0,2,16.7,22.2,3,25.0,0.333,0.333,0.394,0.237,0.295,0.349,90.6,29.4
Tim Anderson,Aaron Civale,15,15,5,2,0,1,4,26.7,33.3,0,0.0,0.333,0.667,0.413,0.356,0.482,0.359,87.7,15.3
Yasmani Grandal,Aaron Civale,9,9,1,1,0,0,5,55.6,35.7,0,0.0,0.111,0.222,0.138,0.135,0.200,0.144,96.3,18.2
Leury Garcia,Aaron Civale,9,9,2,1,0,0,1,11.1,31.3,0,0.0,0.222,0.333,0.232,0.274,0.305,0.257,79.0,12.6
Zack Collins,Aaron Civale,5,4,0,0,0,0,1,20.0,30.0,1,20.0,0.000,0.000,0.138,0.150,0.316,0.291,92.8,13.6
Eloy Jimenez,Aaron Civale,9,9,4,0,0,1,2,22.2,35.7,0,0.0,0.444,0.778,0.513,0.297,0.565,0.365,79.9,-14.0
Adam Engel,Aaron Civale,7,7,0,0,0,0,1,14.3,0.0,0,0.0,0.000,0.000,0.000,0.142,0.297,0.183,81.1,12.7
Jose Ramirez,Reynaldo Lopez,17,16,3,0,0,1,1,5.9,13.0,1,5.9,0.188,0.375,0.263,0.210,0.373,0.271,89.3,26.9
Franmil Reyes,Reynaldo Lopez,8,8,1,0,0,0,6,75.0,63.2,0,0.0,0.125,0.125,0.110,0.103,0.134,0.104,100.4,38.7
Roberto Perez,Reynaldo Lopez,6,6,0,0,0,0,2,33.3,23.1,0,0.0,0.000,0.000,0.000,0.197,0.587,0.317,87.5,-5.2
Oscar Mercado,Reynaldo Lopez,5,4,0,0,0,0,1,20.0,25.0,0,0.0,0.000,0.000,0.000,0.140,0.154,0.131,83.1,14.8
Yoan Moncada,Zach Plesac,19,18,5,2,1,0,7,36.8,32.4,1,5.3,0.278,0.500,0.340,0.231,0.356,0.268,91.8,32.4
Jose Abreu,Zach Plesac,19,17,4,1,0,1,4,21.1,27.8,1,5.3,0.235,0.471,0.337,0.300,0.592,0.409,93.6,9.0
