Batter,Pitcher,PA,AB,H,2B,3B,HR,SO,K%,Whiff%,BB,BB%,BA,SLG,wOBA,xBA,xSLG,xwOBA,EV,LA
Tim Anderson,Zach Plesac,18,18,4,0,0,2,5,27.8,34.9,0,0.0,0.222,0.556,0.317,0.289,0.641,0.389,82.0,14.6
Eloy Jimenez,Zach Plesac,15,15,2,2,0,0,6,40.0,43.3,0,0.0,0.133,0.267,0.164,0.313,0.743,0.430,97.1,8.7
Yasmani Grandal,Zach Plesac,11,11,1,0,0,0,5,45.5,23.8,0,0.0,0.091,0.091,0.080,0.162,0.179,0.150,91.0,-12.0
Leury Garcia,Zach Plesac,11,10,3,1,0,0,2,18.2,20.0,1,9.1,0.300,0.400,0.336,0.326,0.568,0.411,80.4,16.2
Adam Engel,Zach Plesac,7,7,2,1,0,0,2,28.6,10.5,0,0.0,0.286,0.429,0.303,0.236,0.297,0.231,83.0,27.3
Zack Collins,Zach Plesac,7,4,0,0,0,0,1,14.3,14.3,3,42.9,0.000,0.000,0.296,0.086,0.092,0.341,85.1,23.4
Luis Robert,Zach Plesac,10,10,5,2,0,0,3,30.0,42.1,0,0.0,0.500,0.700,0.512,0.285,0.347,0.280,81.0,7.9
Paul Goldschmidt,Adrian Houser,18,17,5,0,0,2,3,16.7,16.1,1,5.6,0.294,0.647,0.400,0.326,0.670,0.426,95.2,14.1
Yadier Molina,Adrian Houser,17,15,4,1,0,1,2,11.8,18.8,2,11.8,0.267,0.533,0.370,0.258,0.581,0.390,90.8,8.3
Paul DeJong,Adrian Houser,12,12,3,1,0,0,4,33.3,34.6,0,0.0,0.250,0.333,0.246,0.129,0.154,0.124,78.0,-4.1
Matt Carpenter,Adrian Houser,9,8,2,0,0,0,4,44.4,27.3,1,11.1,0.250,0.250,0.270,0.190,0.449,0.306,94.4,17.2
Tommy Edman,Adrian Houser,10,10,3,0,0,0,1,10.0,13.3,0,0.0,0.300,0.300,0.264,0.293,0.366,0.284,92.1,9.4
Harrison Bader,Adrian Houser,9,8,1,0,0,0,1,11.1,20.0,1,11.1,0.125,0.125,0.173,0.209,0.263,0.257,90.8,-3.2
Nolan Arenado,Adrian Houser,6,5,2,1,0,0,0,0.0,0.0,1,16.7,0.400,0.600,0.469,0.498,0.575,0.511,96.8,-0.5
Dylan Carlson,Adrian Houser,6,6,1,0,0,0,1,16.7,33.3,0,0.0,0.167,0.167,0.147,0.162,0.186,0.151,85.7,20.9
Christian Yelich,Adam Wainwright,30,24,7,2,0,0,4,13.3,6.5,6,20.0,0.292,0.375,0.368,0.293,0.523,0.422,93.0,-1.7
Lorenzo Cain,Adam Wainwright,28,27,6,2,1,0,3,10.7,18.8,1,3.6,0.222,0.370,0.265,0.317,0.488,0.356,90.6,19.4
Eduardo Escobar,Adam Wainwright,15,13,4,1,0,0,3,20.0,19.2,2,13.3,0.308,0.385,0.350,0.337,0.457,0.391,82.4,5.1
Omar Narvaez,Adam Wainwright,15,13,4,1,0,0,1,6.7,17.2,2,13.3,0.308,0.385,0.352,0.232,0.272,0.282,76.6,13.1
Jace Peterson,Adam Wainwright,14,14,1,0,0,0,3,21.4,20.8,0,0.0,0.071,0.071,0.063,0.182,0.260,0.191,83.3,8.2
Daniel Vogelbach,Adam Wainwright,8,7,1,0,0,1,3,37.5,0.0,1,12.5,0.143,0.571,0.334,0.290,0.692,0.444,95.3,16.3
Willy Adames,Adam Wainwright,7,6,1,0,0,0,3,42.9,40.0,1,14.3,0.167,0.167,0.224,0.063,0.071,0.148,84.5,8.9
Jackie Bradley Jr.,Adam Wainwright,7,6,0,0,0,0,3,42.9,52.9,0,0.0,0.000,0.000,0.103,0.049,0.061,0.214,83.5,-4.5
Avisail Garcia,Adam Wainwright,10,10,4,0,0,0,1,10.0,11.8,0,0.0,0.400,0.400,0.353,0.381,0.451,0.365,89.7,6.3
Luis Urias,Adam Wainwright,5,5,2,0,0,0,1,20.0,6.3,0,0.0,0.400,0.400,0.352,0.264,0.288,0.238,96.5,-4.7
Corbin Burnes,Adam Wainwright,5,5,2,0,0,0,1,20.0,12.5,0,0.0,0.400,0.400,0.352,0.391,0.448,0.375,74.9,-4.7
Kolten Wong,Adam Wainwright,7,5,2,2,0,0,1,14.3,14.3,1,14.3,0.400,0.800,0.557,0.155,0.305,0.341,83.6,25.2
Justin Turner,Kyle Freeland,42,38,13,3,1,0,2,4.8,13.2,2,4.8,0.342,0.474,0.382,0.334,0.510,0.393,92.3,15.9
AJ Pollock,Kyle Freeland,33,30,10,1,1,2,5,15.2,17.2,3,9.1,0.333,0.633,0.427,0.301,0.548,0.389,91.5,7.6
Chris Taylor,Kyle Freeland,29,24,6,0,0,2,6,20.7,19.0,4,13.8,0.250,0.500,0.380,0.187,0.368,0.313,80.7,2.9
Austin Barnes,Kyle Freeland,23,20,2,0,0,1,4,17.4,9.7,3,13.0,0.100,0.250,0.216,0.185,0.350,0.292,85.6,1.8
Mookie Betts,Kyle Freeland,15,14,3,2,0,1,6,40.0,22.2,1,6.7,0.214,0.571,0.346,0.226,0.532,0.343,93.3,22.3
Trea Turner,Kyle Freeland,13,11,3,1,1,1,2,15.4,16.7,2,15.4,0.273,0.818,0.478,0.339,0.763,0.502,88.5,16.0
Corey Seager,Kyle Freeland,19,18,10,1,0,1,3,15.8,36.7,1,5.3,0.556,0.778,0.575,0.387,0.554,0.418,92.4,4.0
Max Muncy,Kyle Freeland,14,14,3,0,0,0,4,28.6,29.6,0,0.0,0.214,0.214,0.189,0.303,0.459,0.327,87.7,7.9
Albert Pujols,Kyle Freeland,15,14,3,1,0,0,1,6.7,17.4,1,6.7,0.214,0.286,0.246,0.223,0.301,0.257,89.0,11.9
Walker Buehler,Kyle Freeland,7,6,1,0,0,0,3,42.9,37.5,0,0.0,0.167,0.167,0.147,0.129,0.143,0.122,89.0,-2.1
Will Smith,Kyle Freeland,5,5,2,0,0,1,1,20.0,22.2,0,0.0,0.400,1.000,0.577,0.325,0.913,0.518,86.4,33.8
Charlie Blackmon,Max Scherzer,16,15,4,0,0,2,5,31.3,27.3,1,6.3,0.267,0.667,0.406,0.192,0.414,0.283,90.8,26.9
Rio Ruiz,Max Scherzer,14,13,1,0,0,1,7,50.0,32.3,1,7.1,0.077,0.308,0.191,0.091,0.238,0.174,85.1,13.6
C.J. Cron,Max Scherzer,9,9,2,0,0,0,4,44.4,41.2,0,0.0,0.222,0.222,0.197,0.263,0.279,0.243,72.5,0.6
Trevor Story,Max Scherzer,5,5,0,0,0,0,2,40.0,40.0,0,0.0,0.000,0.000,0.000,0.084,0.172,0.105,85.0,49.3
Kyle Seager,Chris Bassitt,26,22,4,1,0,1,3,11.5,14.9,3,11.5,0.182,0.364,0.270,0.183,0.333,0.283,88.5,26.1
J.P. Crawford,Chris Bassitt,18,16,4,1,0,0,6,33.3,28.6,0,0.0,0.250,0.313,0.295,0.248,0.337,0.302,84.4,30.4
Dylan Moore,Chris Bassitt,7,7,1,0,0,0,1,14.3,12.5,0,0.0,0.143,0.143,0.126,0.198,0.229,0.189,82.5,-0.9
Ty France,Chris Bassitt,8,8,4,1,0,0,1,12.5,9.1,0,0.0,0.500,0.625,0.485,0.266,0.325,0.257,87.6,17.0
Mitch Haniger,Chris Bassitt,5,5,4,2,0,2,0,0.0,20.0,0,0.0,0.800,2.400,1.300,0.691,2.451,1.284,103.1,31.6
Jake Bauers,Chris Bassitt,5,5,2,0,0,0,1,20.0,27.3,0,0.0,0.400,0.400,0.352,0.295,0.401,0.300,82.9,5.2
Abraham Toro,Chris Bassitt,5,5,2,0,0,0,1,20.0,16.7,0,0.0,0.400,0.400,0.352,0.355,0.476,0.361,82.1,35.1
Mark Canha,Yusei Kikuchi,19,15,4,2,0,2,4,21.1,22.9,4,21.1,0.267,0.800,0.485,0.202,0.331,0.326,94.0,4.5
Matt Olson,Yusei Kikuchi,21,20,5,1,0,2,3,14.3,29.7,1,4.8,0.250,0.600,0.362,0.220,0.433,0.293,90.6,15.1
Matt Chapman,Yusei Kikuchi,17,15,5,0,0,2,3,17.6,27.6,2,11.8,0.333,0.733,0.467,0.358,0.746,0.486,99.2,14.3
Khris Davis,Yusei Kikuchi,15,14,4,1,0,1,3,20.0,35.0,1,6.7,0.286,0.571,0.375,0.296,0.487,0.354,92.5,21.5
Chad Pinder,Yusei Kikuchi,16,15,3,1,0,0,4,25.0,35.7,1,6.3,0.200,0.267,0.228,0.209,0.256,0.233,88.3,7.1
Elvis Andrus,Yusei Kikuchi,11,11,2,0,0,0,3,27.3,36.4,0,0.0,0.182,0.182,0.159,0.224,0.254,0.209,91.1,1.7
Sean Murphy,Yusei Kikuchi,8,8,0,0,0,0,5,62.5,38.9,0,0.0,0.000,0.000,0.000,0.108,0.118,0.099,100.8,-19.1
Jed Lowrie,Yusei Kikuchi,6,5,1,0,0,0,3,50.0,50.0,1,16.7,0.200,0.200,0.262,0.077,0.081,0.175,89.9,-3.5
Freddie Freeman,Madison Bumgarner,36,34,7,2,0,2,9,25.0,30.1,2,5.6,0.206,0.441,0.296,0.174,0.567,0.331,94.7,25.3
Joc Pederson,Madison Bumgarner,9,9,2,1,0,1,4,44.4,52.9,0,0.0,0.222,0.667,0.369,0.184,0.427,0.261,88.0,39.0
Travis d'Arnaud,Madison Bumgarner,8,6,0,0,0,0,3,37.5,28.6,2,25.0,0.000,0.000,0.173,0.266,0.931,0.546,92.5,17.3
Adam Duvall,Madison Bumgarner,8,8,1,0,0,0,1,12.5,20.0,0,0.0,0.125,0.125,0.110,0.115,0.303,0.173,89.8,48.6
Jorge Soler,Madison Bumgarner,7,6,0,0,0,0,2,28.6,58.3,1,14.3,0.000,0.000,0.099,0.078,0.254,0.215,86.0,23.3
Ozzie Albies,Madison Bumgarner,5,4,2,0,0,0,0,0.0,14.3,1,20.0,0.500,0.500,0.486,0.385,0.447,0.428,100.2,12.2
Dansby Swanson,Madison Bumgarner,5,5,0,0,0,0,1,20.0,23.1,0,0.0,0.000,0.000,0.000,0.295,0.373,0.287,91.6,6.6
Orlando Arcia,Madison Bumgarner,6,6,1,0,0,0,1,16.7,7.1,0,0.0,0.167,0.167,0.147,0.161,0.175,0.150,88.3,-15.5
Austin Riley,Madison Bumgarner,5,5,1,0,0,0,3,60.0,53.8,0,0.0,0.200,0.200,0.174,0.094,0.109,0.086,76.9,18.8
Kole Calhoun,Charlie Morton,17,16,1,0,0,1,7,41.2,42.9,0,0.0,0.063,0.250,0.157,0.162,0.366,0.249,88.0,4.1
David Peralta,Charlie Morton,12,9,6,0,0,1,0,0.0,11.8,2,16.7,0.667,1.000,0.649,0.657,1.145,0.735,93.8,12.8
Ketel Marte,Charlie Morton,9,7,2,0,0,1,3,33.3,25.0,2,22.2,0.286,0.714,0.476,0.265,0.384,0.374,86.8,-3.5
Nick Ahmed,Charlie Morton,6,6,2,1,0,0,0,0.0,9.1,0,0.0,0.333,0.500,0.348,0.282,0.346,0.274,90.9,12.8
Evan Longoria,Yu Darvish,29,28,5,2,0,2,7,24.1,25.5,1,3.4,0.179,0.464,0.278,0.239,0.539,0.320,88.8,28.8
Brandon Belt,Yu Darvish,13,12,2,0,0,1,5,38.5,19.0,1,7.7,0.167,0.417,0.275,0.115,0.370,0.237,88.1,33.9
Mike Yastrzemski,Yu Darvish,11,8,3,0,0,2,3,27.3,36.8,2,18.2,0.375,1.125,0.564,0.306,0.831,0.466,89.3,25.6
Brandon Crawford,Yu Darvish,13,11,3,1,0,1,1,7.7,28.6,1,7.7,0.273,0.636,0.424,0.313,0.615,0.439,89.7,9.3
Tommy La Stella,Yu Darvish,9,7,2,0,0,1,2,22.2,8.3,2,22.2,0.286,0.714,0.474,0.199,0.589,0.407,88.0,15.3
Buster Posey,Yu Darvish,11,11,3,0,0,1,3,27.3,15.4,0,0.0,0.273,0.545,0.342,0.285,0.548,0.355,86.8,18.6
Wilmer Flores,Yu Darvish,8,6,0,0,0,0,0,0.0,0.0,2,25.0,0.000,0.000,0.173,0.204,0.349,0.350,89.6,19.7
Kris Bryant,Yu Darvish,6,6,2,0,0,0,2,33.3,25.0,0,0.0,0.333,0.333,0.292,0.317,0.411,0.313,87.4,23.0
LaMonte Wade Jr.,Yu Darvish,5,5,2,0,1,0,0,0.0,0.0,0,0.0,0.400,0.800,0.490,0.354,0.730,0.460,94.1,28.6
Jurickson Profar,Logan Webb,6,4,2,1,0,0,0,0.0,10.0,2,33.3,0.500,0.750,0.581,0.255,0.291,0.389,80.5,16.2
Eric Hosmer,Logan Webb,6,6,3,0,0,0,1,16.7,29.4,0,0.0,0.500,0.500,0.440,0.260,0.278,0.243,83.4,-17.1
Manny Machado,Logan Webb,8,7,2,0,0,0,3,37.5,41.7,1,12.5,0.286,0.286,0.305,0.180,0.274,0.250,95.0,14.8
Fernando Tatis Jr.,Logan Webb,5,5,0,0,0,0,2,40.0,16.7,0,0.0,0.000,0.000,0.000,0.157,0.172,0.150,90.3,-14.6
Wil Myers,Logan Webb,6,6,3,1,0,1,1,16.7,10.0,0,0.0,0.500,1.167,0.683,0.242,0.577,0.341,79.1,-3.4
Trent Grisham,Logan Webb,5,5,3,1,0,0,1,20.0,20.0,0,0.0,0.600,0.800,0.601,0.401,0.503,0.390,84.9,19.4
Josh Bell,Luis Castillo,25,21,4,1,0,0,6,24.0,29.3,4,16.0,0.190,0.238,0.265,0.207,0.239,0.276,82.7,2.2
Jordy Mercer,Luis Castillo,8,7,1,1,0,0,2,25.0,13.3,1,12.5,0.143,0.286,0.242,0.206,0.291,0.274,86.9,-0.1
Alex Avila,Luis Castillo,6,4,0,0,0,0,2,33.3,54.5,2,33.3,0.000,0.000,0.230,0.159,0.175,0.325,96.8,-0.4
Ryan Zimmerman,Luis Castillo,6,6,1,0,0,0,1,16.7,21.4,0,0.0,0.167,0.167,0.146,0.222,0.268,0.217,96.4,0.7
Joey Votto,Patrick Corbin,26,22,6,1,0,0,5,19.2,13.2,4,15.4,0.273,0.318,0.323,0.433,0.531,0.450,83.0,6.2
Eugenio Suarez,Patrick Corbin,17,15,7,1,0,1,5,29.4,18.2,2,11.8,0.467,0.733,0.530,0.318,0.558,0.409,90.1,4.5
Asdrubal Cabrera,Patrick Corbin,14,13,1,0,0,0,5,35.7,34.6,1,7.1,0.077,0.077,0.112,0.167,0.330,0.244,89.2,3.8
Kyle Farmer,Patrick Corbin,8,8,2,0,0,0,1,12.5,25.0,0,0.0,0.250,0.250,0.219,0.312,0.423,0.317,92.2,0.3
Tucker Barnhart,Patrick Corbin,8,8,2,0,0,0,3,37.5,26.7,0,0.0,0.250,0.250,0.220,0.214,0.253,0.208,87.5,-9.0
Wilmer Difo,Aaron Nola,28,27,7,0,0,0,4,14.3,22.0,1,3.6,0.259,0.259,0.243,0.223,0.294,0.239,85.4,10.3
Ben Gamel,Aaron Nola,7,6,1,0,0,0,4,57.1,42.9,1,14.3,0.167,0.167,0.225,0.072,0.265,0.218,90.1,46.6
George Springer,Michael Pineda,26,25,10,3,0,3,7,26.9,38.5,1,3.8,0.400,0.880,0.532,0.312,0.759,0.449,94.4,7.8
Corey Dickerson,Michael Pineda,19,19,9,3,0,2,4,21.1,23.1,0,0.0,0.474,0.947,0.591,0.390,0.859,0.522,92.8,16.6
Jarrod Dyson,Michael Pineda,12,10,4,0,0,0,1,8.3,4.3,2,16.7,0.400,0.400,0.411,0.326,0.397,0.313,74.3,9.9
Marcus Semien,Michael Pineda,11,11,3,1,0,0,2,18.2,15.8,0,0.0,0.273,0.364,0.272,0.256,0.370,0.266,95.0,35.9
Teoscar Hernandez,Michael Pineda,5,4,0,0,0,0,2,40.0,27.8,1,20.0,0.000,0.000,0.138,0.019,0.048,0.160,90.1,43.8
Jake Lamb,Michael Pineda,8,8,3,1,0,2,4,50.0,30.8,0,0.0,0.375,1.250,0.658,0.243,0.590,0.345,93.2,7.2
Randal Grichuk,Michael Pineda,5,5,2,0,0,1,1,20.0,37.5,0,0.0,0.400,1.000,0.562,0.191,0.307,0.219,63.3,-11.5
Josh Donaldson,Steven Matz,17,13,4,0,0,3,3,17.6,15.6,2,11.8,0.308,1.000,0.563,0.288,0.752,0.493,97.0,22.0
Miguel Sano,Steven Matz,5,5,1,0,0,0,2,40.0,25.0,0,0.0,0.200,0.200,0.176,0.200,0.388,0.246,97.5,7.0
Jorge Polanco,Steven Matz,5,4,0,0,0,0,0,0.0,0.0,1,20.0,0.000,0.000,0.138,0.547,0.588,0.538,92.3,3.0
Martin Maldonado,Alex Cobb,11,11,3,2,0,0,2,18.2,35.3,0,0.0,0.273,0.455,0.306,0.138,0.187,0.139,86.1,10.4
Carlos Correa,Alex Cobb,6,6,1,0,0,0,2,33.3,16.7,0,0.0,0.167,0.167,0.147,0.194,0.244,0.192,85.4,3.6
Yuli Gurriel,Alex Cobb,7,5,2,1,0,0,0,0.0,10.0,2,28.6,0.400,0.600,0.499,0.299,0.392,0.416,92.1,13.1
Marwin Gonzalez,Alex Cobb,6,6,1,0,0,0,1,16.7,22.2,0,0.0,0.167,0.167,0.145,0.523,1.040,0.639,99.0,9.1
Jose Altuve,Alex Cobb,6,6,3,0,0,0,1,16.7,18.2,0,0.0,0.500,0.500,0.438,0.247,0.279,0.230,81.1,2.5
Aledmys Diaz,Alex Cobb,9,9,3,1,0,0,2,22.2,0.0,0,0.0,0.333,0.444,0.333,0.352,0.413,0.335,88.0,7.0
Alex Bregman,Alex Cobb,7,6,4,1,0,0,1,14.3,22.2,0,0.0,0.667,0.833,0.655,0.423,0.487,0.448,92.4,10.3
Jason Castro,Alex Cobb,5,4,1,0,0,0,1,20.0,16.7,1,20.0,0.250,0.250,0.314,0.693,0.858,0.660,99.5,14.1
David Fletcher,Lance McCullers Jr.,17,17,5,1,0,0,3,17.6,9.7,0,0.0,0.294,0.353,0.280,0.246,0.285,0.241,80.3,0.6
Phil Gosselin,Lance McCullers Jr.,13,12,2,1,0,0,5,38.5,21.9,1,7.7,0.167,0.250,0.216,0.218,0.331,0.272,90.6,-4.3
Shohei Ohtani,Lance McCullers Jr.,18,15,3,0,0,0,5,27.8,44.0,3,16.7,0.200,0.200,0.262,0.173,0.202,0.256,85.5,-4.9
Jared Walsh,Lance McCullers Jr.,12,12,1,0,0,0,6,50.0,36.0,0,0.0,0.083,0.083,0.073,0.145,0.173,0.138,92.2,7.1
Kurt Suzuki,Lance McCullers Jr.,9,9,0,0,0,0,3,33.3,28.6,0,0.0,0.000,0.000,0.000,0.163,0.185,0.156,84.1,9.3
Luis Rengifo,Lance McCullers Jr.,5,5,1,1,0,0,3,60.0,57.1,0,0.0,0.200,0.400,0.248,0.081,0.100,0.079,71.2,3.6
Jose Rojas,Lance McCullers Jr.,5,4,0,0,0,0,0,0.0,12.5,1,20.0,0.000,0.000,0.138,0.250,0.292,0.326,92.8,17.0
Brandon Marsh,Lance McCullers Jr.,5,4,1,0,0,0,3,60.0,77.8,0,0.0,0.250,0.250,0.320,0.078,0.079,0.201,28.6,-19.5
