Batter,Pitcher,PA,AB,H,2B,3B,HR,SO,K%,Whiff%,BB,BB%,BA,SLG,wOBA,xBA,xSLG,xwOBA,EV,LA
Tim Anderson,Casey Mize,13,13,3,0,0,0,2,15.4,29.2,0,0.0,0.231,0.231,0.203,0.183,0.435,0.261,81.9,-5.0
Yoan Moncada,Casey Mize,9,9,3,1,0,1,2,22.2,22.2,0,0.0,0.333,0.778,0.459,0.253,0.462,0.306,90.8,11.5
Yasmani Grandal,Casey Mize,5,5,2,0,0,1,1,20.0,42.9,0,0.0,0.400,1.000,0.577,0.422,1.043,0.603,106.5,1.8
Leury Garcia,Casey Mize,5,5,2,0,0,0,2,40.0,44.4,0,0.0,0.400,0.400,0.352,0.346,0.394,0.325,93.9,0.4
Jeimer Candelario,Reynaldo Lopez,34,25,4,0,1,1,7,20.6,26.9,7,20.6,0.160,0.360,0.317,0.220,0.518,0.390,87.6,20.2
Niko Goodrum,Reynaldo Lopez,27,23,5,1,0,2,3,11.1,18.9,3,11.1,0.217,0.522,0.360,0.264,0.518,0.382,87.5,23.1
Victor Reyes,Reynaldo Lopez,21,20,9,1,1,1,4,19.0,24.0,1,4.8,0.450,0.750,0.509,0.338,0.452,0.355,85.9,14.8
Miguel Cabrera,Reynaldo Lopez,19,18,3,1,0,1,5,26.3,29.4,0,0.0,0.167,0.389,0.212,0.173,0.307,0.209,87.7,34.5
Robbie Grossman,Reynaldo Lopez,15,11,2,0,0,0,0,0.0,8.7,4,26.7,0.182,0.182,0.301,0.134,0.175,0.285,85.0,17.7
Harold Castro,Reynaldo Lopez,8,8,3,2,0,0,2,25.0,40.0,0,0.0,0.375,0.625,0.413,0.275,0.365,0.276,83.1,12.1
Willi Castro,Reynaldo Lopez,7,6,1,0,0,0,2,28.6,25.0,1,14.3,0.167,0.167,0.225,0.123,0.147,0.199,85.0,12.7
Jonathan Schoop,Reynaldo Lopez,6,5,1,1,0,0,0,0.0,16.7,0,0.0,0.200,0.400,0.327,0.306,0.438,0.386,96.2,7.1
